cell line	cellosaurus name	cellosaurus accession	bto cell line	organism	organism part	sampling site	age	developmental stage	sex	ancestry category	disease	cell type	Material type	synonyms	curated
SK-GT-4	SK-GT-4	CVCL_2195	not available	Homo Sapiens	Esophagus	Distal	89Y	Elderly	Male	Caucasian	Esophageal adenocarcinoma	not available	cell	SK4; SKGT4	curated
SKNO-1	SKNO-1	CVCL_2196	not available	Homo Sapiens	Bone Marrow	Bone marrow	22Y	Adult	Male	Japanese	Acute myeloid leukemia with maturation	not available	cell	SKNO-1; SKNO1	curated
SU-DHL-6	SU-DHL-6	CVCL_2206	not available	Homo Sapiens	Haematopoietic and Lymphoid	Peritoneal effusion	43Y	Adult	Male	Caucasian	Diffuse large b-cell lymphoma germinal center b-cell type	not available	cell	STANFORD UNIVERSITY-DIFFUSE HISTIOCYTIC LYMPHOMA-6; SUDHL6; DHL6; DHL-6; SU-DHL6; SUDHL-6; SUD6	curated
SU-DHL-8	SU-DHL-8	CVCL_2207	not available	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	59Y	Adult	Male	Caucasian	Diffuse large b-cell lymphoma germinal center b-cell type	not available	cell	SUDHL 8; STANFORD UNIVERSITY-DIFFUSE HISTIOCYTIC LYMPHOMA-8; SUDHL-8; DHL8; DHL-8; SUDHL8	curated
SUP-HD1	SUP-HD1	CVCL_2208	not available	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	37Y	Adult	Male	Caucasian	Hodgkins lymphoma	not available	cell	SUPHD1; SUP-HD1; SUP-HD-1	curated
SUP-M2	SUP-M2	CVCL_2209	SUP-M2 cell	Homo Sapiens	Haematopoietic and Lymphoid	Cerebrospinal fluid	5Y	Children	Female	Caucasian	Alk-positive anaplastic large cell lymphoma	not available	cell	SUP-M2; SUPM2	curated
SUP-T11	SUP-T11	CVCL_2210	not available	Homo Sapiens	Bone Marrow	Bone marrow	74Y	Elderly	Male	Caucasian	Adult t acute lymphoblastic leukemia	T cell	cell	STANFORD UNIVERSITY PEDIATRIC T-CELL LINE 11; SUPT11; SUPT-11	curated
TC-71	TC-71	CVCL_2213	TC-71 cell	Homo Sapiens	Bone	Humerus	22Y	Adult	Male	Caucasian	Ewing sarcoma	not available	cell	GM11654; TC71	curated
TFK-1	TFK-1	CVCL_2214	not available	Homo Sapiens	Biliary Tract	Extrahepatic bile duct	63Y	Adult	Male	Japanese	Cholangiocarcinoma	not available	cell	TFK1	curated
TT2609-C02	TT2609-C02	CVCL_2218	not available	Homo Sapiens	Thyroid	Thyroid gland	57Y	Adult	Male	Caucasian	Thyroid gland follicular carcinoma	not available	cell	TT2609-CO2; TT2609C02	curated
U-HO1	U-HO1	CVCL_2220	not available	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	23Y	Adult	Male	not available	Hodgkins lymphoma	not available	cell	U-H01; UHO1	curated
UPCI-SCC-026	UPCI-SCC-026	CVCL_2221	not available	Homo Sapiens	Mouth	Alveolar ridge	82Y	Elderly	Female	Caucasian	Alveolar ridge squamous cell carcinoma	not available	cell	SCC026; UPCI:SCC026; UPCISCC026	curated
UPCI-SCC-040	UPCI-SCC-040	CVCL_2222	not available	Homo Sapiens	Mouth	Tongue	50Y	Adult	Male	Caucasian	Tongue squamous cell carcinoma	not available	cell	UPCI:SCC040; SCC040; UPCISCC040	curated
UPCI-SCC-074	UPCI-SCC-074	CVCL_2224	not available	Homo Sapiens	Alveolar Ridge	Alveolar ridge	51Y	Adult	Female	Indian	Alveolar ridge squamous cell carcinoma	not available	cell	SCC074; UPCI:SCC074; UPCISCC074	curated
UPCI-SCC-111	UPCI-SCC-111	CVCL_2226	not available	Homo Sapiens	Mouth	Floor of mouth	69Y	Elderly	Female	Caucasian	Floor of mouth squamous cell carcinoma	not available	cell	SCC-111; SCC111; UPCI:SCC111	curated
UPCI-SCC-116	UPCI-SCC-116	CVCL_2228	not available	Homo Sapiens	Alveolar Ridge	Alveolar ridge	57Y	Adult	Male	Caucasian	Alveolar ridge squamous cell carcinoma	not available	cell	UPCISCC116; SCC116; UPCI:SCC116	curated
UPCI-SCC-131	UPCI-SCC-131	CVCL_2229	not available	Homo Sapiens	Mouth	Floor of mouth	73Y	Elderly	Male	Caucasian	Floor of mouth squamous cell carcinoma	not available	cell	SCC131; UPCI:SCC131; UPCISCC131	curated
UPCI-SCC-154	UPCI-SCC-154	CVCL_2230	not available	Homo Sapiens	Mouth	Tongue	54Y	Adult	Male	Caucasian	Tongue squamous cell carcinoma	not available	cell	UPCISCC154; SCC154; UPCI:SCC154	curated
UPCI-SCC-200	UPCI-SCC-200	CVCL_2232	not available	Homo Sapiens	Mouth	Mouth	74Y	Elderly	Male	Caucasian	Oral cavity squamous cell carcinomay carcinoma	not available	cell	UPCI:SCC200; SCC200	curated
UT-7	UT-7	CVCL_2233	UT-7 cell	Homo Sapiens	Bone Marrow	Bone marrow	64Y	Adult	Male	Japanese	Adult acute megakaryoblastic leukemia	not available	cell	UT7	curated
VCaP	VCaP	CVCL_2235	VCaP cell	Homo Sapiens	Prostate	Bone; Vertebral bone; Vertebra	59Y	Adult	Male	Caucasian	Prostate carcinoma	not available	cell	NAN; VCAP; VERTEBRAL CANCER OF THE PROSTATE	curated
C-4-I	C-4-I	CVCL_2253	C-4-I cell	Homo Sapiens	Cervix	Uterus	41Y	Adult	Female	Caucasian	Human papillomavirus-related squamous cell carcinoma	not available	cell	HS 636 T; C-4 I; C-4I; C4-1; C41; C-4I CELL; HS 636.T; C4I CELL; C4I; C-4 I CELL; C4-1 CELL; C4 I; C-4-I; C41 CELL; C4-I	curated
HLF-a	HLF-a	CVCL_2255	not available	Homo Sapiens	Lung	Lung	54Y	Adult	Female	African American	Squamous cell lung carcinoma	fibroblast of lung	cell	HLFA	curated
143B	143B	CVCL_2270	143-B cell	Homo Sapiens	Bone	Right femur; Bone	13Y	Juvenile	Female	Caucasian	Osteosarcoma	not available	cell	143BTK-; GM05887; 143 B; GM05887A; 143B; 143B.TK-; HOS-143B; 143BTK CELL; 143B TK-; 143 B CELL; 143B CELL; 143TK-	curated
59M	59M	CVCL_2291	not available	Homo Sapiens	Ovary	Ascites	65Y	Elderly	Female	Caucasian	High grade ovarian serous adenocarcinoma	not available	cell	OAW59M; OAW 59M; 59 M	curated
ANGM-CSS	ANGM-CSS	CVCL_2297	not available	Homo Sapiens	Brain	Temporo-occipital lobe	65Y	Elderly	Male	not available	Glioblastoma	not available	cell	ANGMCSS	curated
BICR10	BICR 10	CVCL_2307	not available	Homo Sapiens	Mouth	Buccal mucosa	not available	not available	Female	Caucasian	Buccal mucosa squamous cell carcinoma	not available	cell	BICR-10 R; BICR10; BICR-10; BEATSON INSTITUTE FOR CANCER RESEARCH 10	curated
BICR16	BICR 16	CVCL_2308	not available	Homo Sapiens	Mouth	Tongue	not available	not available	Male	Caucasian	Tongue squamous cell carcinoma	not available	cell	BICR-16 R; BEATSON INSTITUTE FOR CANCER RESEARCH 16; BICR-16; BICR16	curated
BICR18	BICR 18	CVCL_2309	not available	Homo Sapiens	Head and Neck	Lymph node	not available	not available	not available	Caucasian	Laryngeal squamous cell carcinoma	not available	cell	BICR-18; BICR-18 R; BICR18; BICR_18; BEATSON INSTITUTE FOR CANCER RESEARCH 18	curated
BICR22	BICR 22	CVCL_2310	not available	Homo Sapiens	Head and Neck	Lymph node	88Y	Elderly	Male	Caucasian	Tongue squamous cell carcinoma	not available	cell	BICR22; BEATSON INSTITUTE FOR CANCER RESEARCH 22; BICR-22; BICR-22 M	curated
BICR31	BICR 31	CVCL_2312	not available	Homo Sapiens	Mouth	Tongue	not available	not available	Male	Caucasian	Tongue squamous cell carcinoma	not available	cell	BICR-31; BICR31; BEATSON INSTITUTE FOR CANCER RESEARCH 31	curated
BICR56	BICR 56	CVCL_2313	not available	Homo Sapiens	Mouth	Tongue	not available	not available	Female	Caucasian	Tongue squamous cell carcinoma	not available	cell	BICR-56; BEATSON INSTITUTE FOR CANCER RESEARCH 56; BICR56	curated
BICR6	BICR 6	CVCL_2314	not available	Homo Sapiens	Head and Neck	Hypopharynx; Pharynx	not available	not available	Male	Caucasian	Hypopharyngeal squamous cell carcinoma	not available	cell	BEATSON INSTITUTE FOR CANCER RESEARCH 6; BICR-6; BICR6	curated
BICR78	BICR 78	CVCL_2315	not available	Homo Sapiens	Alveolar Ridge	Alveolar ridge	not available	not available	Male	Caucasian	Alveolar ridge squamous cell carcinoma	not available	cell	BEATSON INSTITUTE FOR CANCER RESEARCH 78; BICR78; BICR-78	curated
BT-483	BT-483	CVCL_2319	BT-483 cell	Homo Sapiens	Breast	Mammary gland	23Y	Adult	Female	Caucasian	Invasive breast carcinoma	not available	cell	BT483; BT483 CELL	curated
COLO-738	COLO 738	CVCL_2407	not available	Homo Sapiens	Soft Tissue	not available	not available	not available	Female	not available	Melanoma	not available	cell	COLO 738; COLO-738; COLORADO 738; MFHL-2	curated
COR-L24	COR-L24	CVCL_2409	not available	Homo Sapiens	Lung	Lymph node	71Y	Elderly	Male	Caucasian	Small cell lung carcinoma	not available	cell	COR L24; CORL24	curated
COR-L303	COR-L303	CVCL_2411	not available	Homo Sapiens	Lung	Lung	not available	not available	Female	Caucasian	Small cell lung carcinoma	not available	cell	COR L303; CORL303	curated
COR-L311	COR-L311	CVCL_2412	not available	Homo Sapiens	Lung	Lung	63Y	Adult	Male	Caucasian	Small cell lung carcinoma	not available	cell	CORL311	curated
COR-L32	COR-L32	CVCL_2413	not available	Homo Sapiens	Lung	Bone marrow	not available	not available	not available	Caucasian	Squamous cell lung carcinoma	not available	cell	CORL32; COR L32	curated
COR-L321	COR-L321	CVCL_2414	not available	Homo Sapiens	Lung	not available	58Y	Adult	Female	Caucasian	Lung carcinoma	not available	cell	CORL321	curated
COR-L47	COR-L47	CVCL_2415	not available	Homo Sapiens	Lung	Bone marrow	67Y	Elderly	Male	Caucasian	Small cell lung carcinoma	not available	cell	COR L47; CORL47	curated
COR-L51	COR-L51	CVCL_2416	not available	Homo Sapiens	Lung	Pleural effusion	71Y	Elderly	Male	Caucasian	Small cell lung carcinoma	not available	cell	CORL51; COR L51	curated
COR-L95	COR-L95	CVCL_2418	not available	Homo Sapiens	Lung	Bronchus	64Y	Adult	Male	Caucasian	Small cell lung carcinoma	not available	cell	CORL95	curated
COV318	COV318	CVCL_2419	not available	Homo Sapiens	Ovary	Ascites	not available	not available	Female	Caucasian	High grade ovarian serous adenocarcinoma	not available	cell	COV-318; COV318	curated
COV362	COV362	CVCL_2420	not available	Homo Sapiens	Ovary	Pleural effusion	not available	not available	Female	Caucasian	High grade ovarian serous adenocarcinoma	not available	cell	COV-362; COV362	curated
COV362-4	COV362.4	CVCL_2421	not available	Homo Sapiens	Ovary	Pleural effusion	not available	not available	Female	Caucasian	High grade ovarian serous adenocarcinoma	not available	cell	COV362-4; COV-362.4	curated
COV413A	COV413A	CVCL_2422	not available	Homo Sapiens	Ovary	Sigmoid colon; Sigmoid; Colon	not available	not available	Female	not available	Ovarian carcinoma	not available	cell	COV 413A	curated
COV413B	COV413B	CVCL_2423	not available	Homo Sapiens	Ovary	Bladder dome; Urinary bladder	not available	not available	Female	not available	Ovarian carcinoma	not available	cell	COV413B	curated
COV504	COV504	CVCL_2424	not available	Homo Sapiens	Ovary	Pleural effusion	not available	not available	Female	Caucasian	Ovarian carcinoma	not available	cell	COV504; COV 504	curated
COV644	COV644	CVCL_2425	not available	Homo Sapiens	Ovary	Ovary	not available	not available	Female	Caucasian	Ovarian mucinous adenocarcinoma	not available	cell	COV-644	curated
DMS-454	DMS 454	CVCL_2438	not available	Homo Sapiens	Lung	Lung	not available	not available	Male	Caucasian	Small cell lung carcinoma	not available	cell	DMS-454; DARMOUTH MEDICAL SCHOOL 454; DMS454	curated
FTC-236	FTC-236	CVCL_2446	FTC-236 cell	Homo Sapiens	Thyroid	Cervical lymph node	42Y	Adult	Male	Caucasian	Thyroid gland follicular carcinoma	not available	cell	FTC236; FTC236 CELL	curated
FTC-238	FTC-238	CVCL_2447	not available	Homo Sapiens	Thyroid	Lung	42Y	Adult	Male	Caucasian	Thyroid gland follicular carcinoma	not available	cell	FTC238	curated
GP2d	GP2d	CVCL_2450	not available	Homo Sapiens	Colon	Colon	71Y	Elderly	Female	Caucasian	Colon adenocarcinoma	not available	cell	GP2D	curated
GR-M	GR-M	CVCL_2451	not available	Homo Sapiens	Pancreas	Pancreas	36Y	not available	Male	Japanese	Pancreatic adenocarcinoma	not available	cell	GRM	curated
H103	H103	CVCL_2457	not available	Homo Sapiens	Mouth	Tongue	32Y	Adult	Male	not available	Tongue squamous cell carcinoma	not available	cell	H103	curated
H357	H357	CVCL_2462	not available	Homo Sapiens	Mouth	Tongue	74Y	Elderly	Male	not available	Tongue squamous cell carcinoma	not available	cell	H357	curated
H376	H376	CVCL_2463	not available	Homo Sapiens	Mouth	Floor of mouth	40Y	Adult	Female	not available	Floor of mouth squamous cell carcinoma	not available	cell	H376	curated
H413	H413	CVCL_2465	not available	Homo Sapiens	mouth	Buccal mucosa	53Y	Adult	Female	not available	Buccal mucosa squamous cell carcinoma	not available	cell	H413	curated
HCT-8	HCT 8	CVCL_2478	HCT-8 cell	Homo Sapiens	Colon	Colon	67Y	Elderly	Male	Caucasian	Colon adenocarcinoma	colon epithelial cell	cell	HCT8; HCT-8; HCT8 CELL	curated
HEL-92-1-7	HEL 92.1.7	CVCL_2481	HEL-92.1.7 cell	Homo Sapiens	Blood	Peripheral blood; Bone marrow	30Y	Adult	Male	Caucasian	Erythroleukemia	not available	cell	HEL-92-1-7; HEL-92; HEL9217 CELL; HEL9217; HEL 92.1.7 CELL; HEL (TIB-180) CELL; HEL.92.1.7 CELL; HEL92.1.7; HEL TIB 180 CELL; HEL92.1.7 CELL; HEL-92.1.7; HEL-92_1_7	curated
HRT-18	HRT-18	CVCL_2514	HRT-18 cell	Homo Sapiens	Colon	Colon	67Y	Elderly	Male	Caucasian	Colon adenocarcinoma	colon epithelial cell	cell	HRT18; HUMAN RECTAL TUMOR-18	curated
HT-115	HT115	CVCL_2520	HT-115 cell	Homo Sapiens	Colon	Colon	not available	not available	not available	Caucasian	Colon carcinoma	not available	cell	HT 115; HT-115; HT 115 CELL; HT115 CELL	curated
HTK-	HTK-	CVCL_2522	not available	Homo Sapiens	Bone	Right femur	13Y	Juvenile	Female	Caucasian	Osteosarcoma	not available	cell	HTK-	curated
HuNS1	HuNS1	CVCL_2526	not available	Homo Sapiens	Blood	Peripheral blood	not available	not available	Male	Caucasian	Plasma cell myeloma	not available	cell	HUNS1	curated
Ishikawa	Ishikawa	CVCL_2529	Ishikawa cell	Homo Sapiens	Endometrium	Endometrium	39Y	Adult	Female	Japanese	Endometrial adenocarcinoma	not available	cell	ISHI CELL; ISHIKAWA; ISHIKAWA CELL; ISHI	curated
KARPAS-1718	Karpas-1718	CVCL_2539	not available	Homo Sapiens	Blood	Peripheral blood	not available	not available	Male	not available	Splenic marginal zone lymphoma	not available	cell	K1718; KARPAS 1718; KARPAS-1718	curated
KARPAS-384	Karpas-384	CVCL_2541	not available	Homo Sapiens	Blood	Peripheral blood	48Y	Adult	Male	not available	Primary cutaneous t-cell non-hodgkin lymphoma	T cell	cell	KARPAS384; KARPAS 384	curated
LIM1215	LIM1215	CVCL_2574	LIM1215 cell	Homo Sapiens	Large Intestine	Omentum	34Y	Adult	not available	Caucasian	Colorectal carcinoma	not available	cell	LIM 1215; LIM1215; LIM-1215; LIM 1215 CELL	curated
LO68	LO68	CVCL_2581	not available	Homo Sapiens	Lung	Pleural effusion	57Y	Adult	Male	not available	Pleural epithelioid mesothelioma	not available	cell	LO68	curated
LUDLU-1	LUDLU-1	CVCL_2582	not available	Homo Sapiens	Lung	not available	72Y	Elderly	Male	Caucasian	Squamous cell lung carcinoma	not available	cell	LUDLU1; LUDLU-1; LUDLU 1	curated
MCC13	MCC13	CVCL_2583	not available	Homo Sapiens	Skin	Cervical lymph node	80Y	Elderly	Female	Caucasian	Merkel cell carcinoma	not available	cell	MCC13TC; MCC13 TC	curated
MCC14-2	MCC14/2	CVCL_2584	not available	Homo Sapiens	Skin	Iliac lymph node; Iliac node (groin)	80Y	Elderly	Male	not available	Merkel cell carcinoma	not available	cell	MCC14-2; MCC142; MCC14/2 TC; MCC14/2TC	curated
MCC26	MCC26	CVCL_2585	not available	Homo Sapiens	Skin	not available	82Y	Elderly	not available	Caucasian	Merkel cell carcinoma	not available	cell	NAN; MCC26TC; MCC26 TC	curated
MDST8	MDST8	CVCL_2588	not available	Homo Sapiens	Colon	Colon	not available	not available	not available	Caucasian	Colon carcinoma	not available	cell	T8	curated
Mero-14	Mero-14	CVCL_2590	not available	Homo Sapiens	Lung	Pleural effusion	>60Y	not available	Male	not available	Pleural epithelioid mesothelioma	not available	cell	MERO14	curated
Mero-25	Mero-25	CVCL_2591	not available	Homo Sapiens	Lung	Lung; Pleural cavity; Pleura	>60Y	not available	Male	not available	Pleural biphasic mesothelioma	not available	cell	MERO25	curated
Mero-41	Mero-41	CVCL_2592	not available	Homo Sapiens	Lung	Pleural effusion	>60Y	not available	Male	not available	Pleural epithelioid mesothelioma	not available	cell	MERO41	curated
Mero-48a	Mero-48a	CVCL_2593	not available	Homo Sapiens	Lung	Pleural effusion; Pleural cavity	not available	not available	Male	not available	Pleural biphasic mesothelioma	not available	cell	MERO48A	curated
Mero-82	Mero-82	CVCL_2594	not available	Homo Sapiens	Lung	Pleural effusion	not available	not available	not available	not available	Pleural epithelioid mesothelioma	not available	cell	MERO82	curated
Mero-83	Mero-83	CVCL_2595	not available	Homo Sapiens	Lung	Pleural effusion	not available	not available	Male	not available	Pleural biphasic mesothelioma	not available	cell	MERO83	curated
Mero-84	Mero-84	CVCL_2596	not available	Homo Sapiens	Lung	Pleural effusion	not available	not available	Male	not available	Pleural biphasic mesothelioma	not available	cell	MERO84	curated
Mero-95	Mero-95	CVCL_2597	not available	Homo Sapiens	Lung	Pleural effusion	not available	not available	Male	not available	Pleural epithelioid mesothelioma	not available	cell	MERO95	curated
MES-SA-Dx-5	MES-SA/Dx5	CVCL_2598	not available	Homo Sapiens	Uterus	Uterus	56Y	Adult	Female	Caucasian	Uterine corpus sarcoma	not available	cell	DX5; MESSA DX5; MESSADX5; MESSA-DX5; MES-SA DX5; MESSA/DX5; MES-SA/DX-5; MES-SA-DX5	curated
MES-SA-MX2	MES-SA/MX2	CVCL_2599	not available	Homo Sapiens	Uterus	Uterus	56Y	Adult	Female	Caucasian	Uterine corpus sarcoma	not available	cell	MESSA/MX2; MESSAMX2; MES-SA/MX2; MES-SA-MX2	curated
MKL-1	MKL-1	CVCL_2600	not available	Homo Sapiens	Skin	Lymph node; Left axillary lymph node	26Y	Adult	Male	Caucasian	Merkel cell carcinoma	not available	cell	MKL1; MKL-1	curated
MM127	MM127	CVCL_2601	not available	Homo Sapiens	Skin	Hypodermis	not available	not available	Male	not available	Amelanotic melanoma	not available	cell	MM-127	curated
MM253	MM253	CVCL_2604	not available	Homo Sapiens	Skin	Lymph node	46Y	Adult	not available	not available	Amelanotic melanoma	not available	cell	MM 253	curated
MM370	MM370	CVCL_2605	not available	Homo Sapiens	Skin	Lymph node	not available	not available	not available	not available	Melanoma	not available	cell	MM 370	curated
MM383	MM383	CVCL_2606	not available	Homo Sapiens	Skin	Lymph node	not available	not available	not available	not available	Melanoma	not available	cell	MM 383	curated
MM386	MM386	CVCL_2607	not available	Homo Sapiens	Skin	Lymph node	not available	not available	not available	not available	Melanoma	not available	cell	MM 386	curated
MM415	MM415	CVCL_2608	not available	Homo Sapiens	Skin	Lymph node	not available	not available	not available	not available	Melanoma	not available	cell	MM 415	curated
MM426	MM426	CVCL_2609	not available	Homo Sapiens	Skin	Lymph node; Cervical lymph node	not available	not available	not available	not available	Melanoma	not available	cell	MM 426	curated
MM485	MM485	CVCL_2610	not available	Homo Sapiens	Skin	Lymph node	not available	not available	Male	not available	Amelanotic melanoma	not available	cell	MM 485	curated
MOG-G-CCM	MOG-G-CCM	CVCL_2613	not available	Homo Sapiens	Brain	Brain	not available	not available	not available	Caucasian	Anaplastic astrocytoma	not available	cell	GO-G-CCM; CCM; MOGGCCM; G-CCM; MEDICAL ONCOLOGY GLASCOW-GLIOMA-CCM	curated
MOG-G-UVW	MOG-G-UVW	CVCL_2614	not available	Homo Sapiens	Brain	Brain	not available	not available	Male	Caucasian	Anaplastic astrocytoma	not available	cell	MEDICAL ONCOLOGY GLASCOW-GLIOMA-UVW; MOG-GUVW; G-UVW; UVW; MOGGUVW; GO-G-UVW	curated
MOR	MOR	CVCL_2618	not available	Homo Sapiens	Lung	Lung	not available	not available	not available	Caucasian	Lung adenocarcinoma	not available	cell	MOR/P	curated
MOR-CPR	MOR/CPR	CVCL_2620	not available	Homo Sapiens	Lung	Lung	not available	not available	not available	Caucasian	Lung adenocarcinoma	not available	cell	MORCPR; MOR-CPR	curated
NCI-BL1184	NCI-BL1184	CVCL_2635	not available	Homo Sapiens	Blood	Peripheral blood	42Y	Adult	Male	Caucasian	Non-cancerous	B cell	cell	NCI-BL5; BL5; BL1184	curated
NCI-BL128	NCI-BL128	CVCL_2636	not available	Homo Sapiens	Blood	Peripheral blood	60Y	Adult	Male	African American	Non-cancerous	B cell	cell	NCI-H128BL; BL128; H128BL	curated
NCI-BL1339	NCI-BL1339	CVCL_2637	not available	Homo Sapiens	Blood	Peripheral blood	49Y	Adult	Female	White	Non-cancerous	B cell	cell	BL6; BL1339; NCI-BL6	curated
NCI-BL1395	NCI-BL1395	CVCL_2638	not available	Homo Sapiens	Blood	Peripheral blood	55Y	Adult	Female	Caucasian	Non-cancerous	B cell	cell	BL1395	curated
NCI-BL1437	NCI-BL1437	CVCL_2639	not available	Homo Sapiens	Blood	Peripheral blood	60Y	Adult	Male	Caucasian	Non-cancerous	B cell	cell	BL1437	curated
NCI-BL1770	NCI-BL1770	CVCL_2644	not available	Homo Sapiens	Blood	Peripheral blood	57Y	Adult	Male	Caucasian	Non-cancerous	B cell	cell	BL1770	curated
NCI-BL2009	NCI-BL2009	CVCL_2645	not available	Homo Sapiens	Blood	Peripheral blood	68Y	Elderly	Female	Caucasian	Non-cancerous	B cell	cell	BL2009	curated
NCI-BL2052	NCI-BL2052	CVCL_2647	not available	Homo Sapiens	Blood	Peripheral blood	65Y	Elderly	Male	Caucasian	Non-cancerous	B cell	cell	BL2052	curated
NCI-BL2087	NCI-BL2087	CVCL_2648	not available	Homo Sapiens	Blood	Peripheral blood	69Y	Elderly	Male	Caucasian	Non-cancerous	B cell	cell	BL2087	curated
NCI-BL209	NCI-BL209	CVCL_2649	not available	Homo Sapiens	Blood	Peripheral blood	55Y	Adult	Male	Caucasian	Non-cancerous	B cell	cell	NCI-H209BL; BL209; H209BL	curated
NCI-BL2122	NCI-BL2122	CVCL_2651	not available	Homo Sapiens	Blood	Peripheral blood	46Y	Adult	Female	Caucasian	Non-cancerous	B cell	cell	BL2122	curated
NCI-BL2126	NCI-BL2126	CVCL_2652	not available	Homo Sapiens	Blood	Peripheral blood; Pleural effusion	65Y	Elderly	Male	Caucasian	Non-cancerous	B cell	cell	BL2126	curated
NCI-BL2141	NCI-BL2141	CVCL_2653	not available	Homo Sapiens	Blood	Peripheral blood	58Y	Adult	Male	Caucasian	Non-cancerous	B cell	cell	BL2141	curated
NCI-BL2171	NCI-BL2171	CVCL_2654	not available	Homo Sapiens	Blood	Peripheral blood	50Y	Adult	Male	Caucasian	Non-cancerous	B cell	cell	BL2171	curated
NCI-BL2347	NCI-BL2347	CVCL_2656	not available	Homo Sapiens	Blood	Peripheral blood	54Y	Adult	Female	Caucasian	Non-cancerous	B cell	cell	BL2347	curated
NO36	NO36	CVCL_2658	not available	Homo Sapiens	Lung	Pleural effusion	36Y-62Y	Adult	Male	not available	Pleural epithelioid mesothelioma	not available	cell	NO36	curated
OE21	OE21	CVCL_2661	OE-21 cell	Homo Sapiens	Esophagus	Esophagus	74Y	Elderly	Male	Caucasian	Esophageal squamous cell carcinoma	not available	cell	OE21 CELL; JROECL21; OE-21; JROECL 21	curated
ONE58	ONE58	CVCL_2671	not available	Homo Sapiens	Lung	Pleural effusion	58Y	Adult	Male	not available	Pleural epithelioid mesothelioma	not available	cell	ONE58	curated
OV-17R	OV17R	CVCL_2672	not available	Homo Sapiens	Ovary	Ascites	50Y	Adult	Female	Caucasian	Ovarian adenocarcinoma	not available	cell	OV-17R	curated
OV-56	OV56	CVCL_2673	not available	Homo Sapiens	Ovary	Ascites	46Y	Adult	Female	Caucasian	Ovarian serous adenocarcinoma	not available	cell	OV-56	curated
OV-7	OV7	CVCL_2675	not available	Homo Sapiens	Ovary	Ovary	78Y	Elderly	Female	Caucasian	Ovarian carcinoma	not available	cell	OV-7	curated
P3HR-1	P3HR-1	CVCL_2676	not available	Homo Sapiens	Ascites	Ascites	7Y	Children	Male	African; Nigerian	Burkitt lymphoma	B cell	cell	HR-1; P3HR1; P 3 HR 1; P3HR1-BL; P3HRI; HR1K; P3J HR1-K; PO; P3JHR1; P3J HR-1; P3J-HR-1; P3J.HR1K; P3JHR-1	curated
P4E6	P4E6	CVCL_2677	P4E6 cell	Homo Sapiens	Prostate	Prostate	not available	not available	Male	not available	Prostate carcinoma	not available	cell	P4E6	curated
PE-CA-PJ15	PE/CA-PJ15	CVCL_2678	not available	Homo Sapiens	Mouth	Tongue	45Y	Adult	Male	Caucasian	Tongue squamous cell carcinoma	not available	cell	PECAPJ15; PE_CA-PJ15; PE CA PJ15; PE/CA-PJ-15; PE-CA-PJ15; PE/CA PJ15	curated
PE-CA-PJ34_Clone-C12	PE/CA-PJ34 (clone C12)	CVCL_2679	not available	Homo Sapiens	Mouth	Mouth	60Y	Adult	Male	Caucasian	Head and neck basaloid carcinoma	not available	cell	PECAPJ34CLONEC12; PE/CA-PJ-34; PE CA PJ34; PLAEPI 34; PJ34; PECAPJ34; PE/CA-PJ34	curated
PE-CA-PJ41_Clone-D2	PE/CA-PJ41 (clone D2)	CVCL_2680	not available	Homo Sapiens	Mouth	Mouth	67Y	Elderly	Female	Caucasian	Oral cavity squamous cell carcinomay carcinoma	not available	cell	PE CA PJ41; PE/CA-PJ-41; PECAPJ41; PECAPJ41CLONED2; PLAEPI 41	curated
PE-CA-PJ49	PE/CA-PJ49	CVCL_2681	not available	Homo Sapiens	Mouth	Tongue	57Y	Adult	Male	Caucasian	Tongue squamous cell carcinoma	not available	cell	PECAPJ49; PE CA PJ49	curated
PEA1	PEA1	CVCL_2682	not available	Homo Sapiens	Ovary	Pleural effusion	not available	not available	Female	not available	Ovarian cystadenocarcinoma	not available	cell	PEA1	curated
PEA2	PEA2	CVCL_2683	not available	Homo Sapiens	Ovary	Ascites	not available	not available	Female	not available	Ovarian cystadenocarcinoma	not available	cell	PEA2	curated
PEO1	PEO1	CVCL_2686	PEO-1 cell	Homo Sapiens	Ovary	Ascites	not available	not available	Female	Caucasian	Ovarian cystadenocarcinoma	not available	cell	PEO-1; PE01; PEO1 CELL; PEO	curated
PEO14	PEO14	CVCL_2687	not available	Homo Sapiens	Ovary	Ascites	not available	not available	not available	not available	Ovarian cystadenocarcinoma	not available	cell	PEO-14; PE014	curated
PEO23	PEO23	CVCL_2689	not available	Homo Sapiens	Ovary	Ascites	not available	not available	not available	not available	Ovarian cystadenocarcinoma	not available	cell	PE023	curated
PEO4	PEO4	CVCL_2690	PEO-4 cell	Homo Sapiens	Ovary	Ascites	not available	not available	Female	Caucasian	Ovarian cystadenocarcinoma	not available	cell	PEO4 CELL; PEO-4; PE04	curated
PEO6	PEO6	CVCL_2691	PEO-6 cell	Homo Sapiens	Ovary	Ascites	not available	not available	Female	Caucasian	Ovarian cystadenocarcinoma	not available	cell	PEO6 CELL; PEO-6; PE06	curated
